Index,ctrgcn-B,ctrgcn-BM,ctrgcn-J,ctrgcn-JM,mstgcn-B,mstgcn-BM,mstgcn-J,mstgcn-JM,skkmixf-B,skkmixf-J,skmixf-B,skmixf-BM,skmixf-J,skmixf-JM,tdgcn-B,tdgcn-BM,tdgcn-J,tdgcn-JM,tegcn-B,tegcn-J
984,31,39,31,115,40,43,40,40,40,31,31,38,31,41,31,39,31,39,31,31
985,82,82,96,82,82,82,82,148,82,82,148,74,82,82,84,80,82,82,82,82
986,49,151,71,151,151,15,71,15,4,4,49,151,4,151,4,0,49,15,71,4
987,14,13,14,14,14,14,14,14,14,14,14,18,14,14,14,14,14,14,14,14
988,127,46,30,66,128,59,62,59,30,22,22,66,22,58,30,30,30,23,30,22
989,55,145,20,21,4,54,143,5,7,143,55,20,143,7,4,12,4,72,66,55
990,130,146,146,130,130,130,130,146,130,95,95,130,95,77,146,130,130,130,146,130
991,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
992,34,35,34,121,144,34,125,1,35,34,144,34,125,125,34,1,34,35,34,34
993,72,72,72,140,72,138,72,72,72,72,72,72,72,72,72,72,72,72,72,72
994,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
995,42,37,130,64,39,44,42,31,39,39,17,38,38,31,115,31,130,27,115,115
996,46,122,46,122,122,122,123,122,122,122,46,142,124,122,124,128,122,128,122,122
997,104,31,115,72,19,56,105,115,104,105,105,115,104,105,115,115,115,107,104,115
998,128,128,128,47,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
999,111,111,111,111,111,111,111,111,111,111,111,101,111,111,111,37,111,111,111,111
1000,104,105,114,119,114,105,114,105,19,19,110,104,19,105,110,19,114,105,105,19
1001,8,24,38,109,72,18,42,145,47,38,18,41,38,72,40,36,38,59,42,41
1002,74,74,74,74,74,74,74,74,74,74,74,146,74,77,74,87,74,74,74,74
1003,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
1004,42,38,58,18,42,41,42,58,109,42,42,38,42,33,18,31,42,36,14,35
1005,133,133,133,123,133,142,142,88,133,133,88,47,88,133,133,133,133,48,82,82
1006,146,130,97,97,95,134,130,97,97,146,146,97,78,97,95,97,130,93,97,133
1007,122,48,47,18,142,128,142,131,47,142,142,47,142,47,88,5,145,48,122,142
1008,21,25,21,64,21,25,21,25,44,21,21,127,21,57,21,45,21,68,21,21
1009,76,76,76,76,76,76,76,76,76,76,76,79,76,76,76,76,76,76,76,76
1010,40,31,40,64,40,40,40,40,31,31,31,31,40,41,31,64,40,64,31,40
1011,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
1012,61,61,20,61,61,61,20,61,61,61,20,61,20,61,61,61,61,61,61,61
1013,49,121,143,49,122,105,122,6,116,49,36,29,122,120,4,121,4,29,50,4
1014,88,133,88,133,133,133,148,88,133,133,133,133,148,133,133,88,133,133,88,79
1015,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
1016,77,95,77,77,77,95,77,86,77,130,77,130,89,130,77,77,77,77,130,130
1017,27,30,105,62,108,54,150,30,33,150,45,128,150,30,33,128,150,24,1,34
1018,2,2,37,2,2,139,37,2,1,37,24,144,37,37,2,2,2,37,34,34
1019,53,53,151,126,42,53,137,53,137,151,53,39,151,136,126,53,53,137,51,53
1020,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,77,93,93,93,93
1021,131,77,87,76,87,87,76,76,78,76,79,79,76,77,79,77,87,76,76,87
1022,133,123,142,5,123,128,123,88,142,142,34,142,122,110,133,142,142,88,122,52
1023,29,71,4,71,4,71,4,29,45,4,29,65,4,52,29,29,4,71,4,4
1024,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,21,23,23
1025,121,50,121,3,121,121,121,121,121,121,121,3,121,3,121,121,121,121,121,121
1026,64,64,64,30,23,20,23,20,32,64,23,20,5,21,64,20,5,30,64,64
1027,133,133,133,123,123,128,122,88,123,133,133,123,123,123,133,88,133,88,96,122
1028,88,133,88,48,142,7,142,23,47,88,88,47,47,133,133,128,47,105,42,128
1029,48,48,48,48,48,48,48,9,25,48,48,48,48,48,48,25,48,48,48,48
1030,7,49,7,7,7,7,7,50,7,7,7,54,7,7,54,6,54,7,7,54
1031,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
1032,18,47,47,63,47,13,47,63,18,47,47,13,47,47,47,13,47,47,18,18
1033,136,128,71,136,128,128,128,128,128,128,128,142,71,128,128,128,128,128,128,128
1034,88,48,133,123,142,128,142,133,47,133,88,133,142,133,133,88,133,133,122,142
1035,53,53,53,53,53,53,53,53,53,53,53,151,53,53,53,53,53,53,53,53
1036,79,79,79,74,79,79,79,74,79,79,79,79,88,79,79,79,79,88,79,88
1037,70,45,150,24,70,67,70,43,24,70,70,24,67,30,70,103,70,24,109,55
1038,109,142,117,122,124,124,127,122,124,36,109,124,39,53,124,124,46,122,36,117
1039,39,70,39,39,39,56,39,39,39,39,39,37,39,39,39,39,39,39,39,39
1040,38,125,38,24,38,45,38,125,24,38,38,45,38,45,38,27,38,24,38,38
1041,74,76,74,79,74,76,74,79,74,76,74,79,76,79,74,76,76,76,74,74
1042,5,5,5,5,5,5,5,5,5,5,5,21,5,5,5,5,5,5,5,5
1043,88,133,133,123,123,128,133,131,47,133,88,47,47,133,133,142,133,133,82,82
1044,142,142,127,142,142,128,142,47,14,122,142,128,142,29,142,142,142,33,122,47
1045,47,68,144,71,34,71,34,70,67,34,102,47,34,71,34,68,34,71,34,34
1046,33,27,130,44,39,127,36,118,112,36,36,33,36,112,36,130,130,79,143,50
1047,147,147,147,147,22,42,147,138,147,147,42,147,147,42,147,147,42,147,147,147
1048,88,88,88,88,88,88,85,88,88,88,88,88,88,88,88,88,88,88,88,88
1049,67,67,67,45,67,45,67,44,27,67,67,67,67,45,67,27,67,27,67,67
1050,49,52,142,5,142,128,122,46,14,142,31,47,142,51,142,20,142,142,49,52
1051,100,111,100,100,126,100,128,100,100,126,126,128,100,100,100,103,100,58,100,100
1052,114,19,33,13,139,2,13,14,57,114,35,35,11,50,143,14,47,57,14,47
1053,47,47,47,47,47,30,47,30,47,47,47,9,47,47,47,21,47,47,47,47
1054,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
1055,8,8,8,8,8,8,8,8,8,8,8,8,48,8,8,8,8,8,8,8
1056,17,17,17,16,17,16,149,16,149,17,17,139,17,17,17,16,17,16,17,17
1057,29,29,29,29,29,29,29,71,29,29,29,29,29,149,29,15,29,29,29,71
1058,31,66,65,22,2,136,117,59,117,2,2,107,67,58,31,152,16,23,2,2
1059,142,71,142,142,142,128,142,142,142,142,142,71,142,142,142,128,142,142,142,142
1060,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,103,128,128
1061,116,69,6,23,143,56,149,133,149,49,26,38,6,105,116,56,150,25,105,120
1062,37,125,2,140,2,125,2,22,140,2,2,150,2,150,2,150,2,39,2,2
1063,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0
1064,6,66,6,6,6,6,6,30,6,6,6,46,6,46,6,6,6,46,6,6
1065,133,133,133,142,133,133,123,133,133,133,133,47,133,133,133,88,133,88,82,76
1066,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
1067,139,139,139,139,139,139,139,143,139,139,139,101,139,111,139,11,139,16,16,139
1068,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
1069,142,137,122,137,122,122,137,137,122,142,122,122,142,137,122,138,137,128,142,142
1070,93,95,93,91,93,95,93,91,93,93,90,93,93,93,93,77,93,77,93,93
1071,10,128,151,128,10,128,126,136,142,136,142,142,137,128,10,128,142,136,151,1
1072,58,58,58,58,139,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
1073,45,45,62,62,62,45,45,45,68,45,45,108,45,45,45,45,62,47,62,45
1074,133,133,133,123,133,128,133,88,133,133,133,47,47,133,133,133,133,96,14,93
1075,73,73,73,73,73,73,73,73,73,73,73,55,73,73,73,73,73,55,73,73
1076,106,114,106,143,106,143,106,143,114,106,114,106,104,106,114,106,114,143,104,104
1077,23,105,142,28,142,105,142,23,116,142,32,142,142,104,29,68,47,48,145,143
1078,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
1079,105,105,105,105,105,113,105,105,105,105,105,105,105,105,105,105,105,105,105,105
1080,41,24,41,24,41,24,41,24,38,41,41,30,41,36,41,40,41,36,41,41
1081,10,128,10,128,10,10,10,128,10,10,10,128,9,128,10,128,10,9,10,10
1082,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
1083,29,64,7,103,7,59,7,23,7,7,29,59,7,103,7,59,7,103,23,64
1084,13,13,13,63,63,13,144,62,15,13,13,8,144,8,13,13,15,8,63,13
1085,25,68,25,68,25,68,25,68,68,25,38,68,25,68,68,24,25,68,25,25
1086,15,15,67,112,15,15,15,138,15,15,15,139,15,7,15,112,67,112,15,15
1087,38,108,69,108,38,24,69,108,108,38,68,108,38,108,108,108,24,21,68,68
1088,31,31,31,67,31,31,31,31,31,31,31,36,31,31,31,31,31,31,31,31
1089,34,57,34,70,34,27,34,69,34,34,144,102,34,34,144,69,144,33,144,144
1090,23,23,108,59,30,30,30,30,23,108,23,59,23,17,23,30,30,5,17,17
1091,110,110,110,110,110,111,110,111,111,110,110,110,110,111,110,110,110,110,110,110
1092,47,72,24,72,36,24,36,21,47,47,36,34,36,43,36,43,24,118,24,36
1093,83,98,83,87,83,87,83,77,148,80,83,98,98,82,83,98,83,98,83,82
1094,42,129,114,129,115,136,11,129,5,112,108,105,42,138,42,126,126,129,58,12
1095,108,35,108,108,108,24,108,43,108,108,108,69,108,24,108,35,108,35,108,108
1096,39,26,39,26,39,26,39,129,26,39,26,129,39,26,39,39,39,39,39,39
1097,29,10,55,138,143,129,104,145,23,29,29,38,55,138,71,10,55,30,23,71
1098,91,98,91,98,91,98,91,98,91,91,91,79,91,98,91,91,91,98,91,91
1099,103,107,103,107,103,107,103,140,101,103,58,58,103,58,103,107,103,59,103,103
1100,27,25,27,25,27,44,25,35,44,27,57,53,27,9,27,25,27,27,27,27
1101,142,126,142,53,142,128,122,128,122,142,122,122,122,142,122,7,142,138,142,142
1102,151,137,122,137,137,137,69,7,122,6,122,126,122,7,137,137,137,124,137,137
1103,50,51,121,50,50,4,50,4,50,121,50,122,50,52,50,51,121,4,50,50
1104,67,116,116,116,31,37,116,67,117,115,67,67,115,37,31,116,116,37,70,116
1105,5,64,30,17,30,23,30,64,30,5,60,118,5,72,30,23,17,30,12,61
1106,14,14,14,14,14,14,14,14,14,14,14,63,14,14,14,14,14,13,14,14
1107,150,48,47,41,142,142,4,34,47,28,142,57,28,48,47,150,48,28,122,88
1108,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
1109,131,131,131,131,131,131,131,131,131,131,131,74,131,131,131,131,131,131,131,131
1110,75,88,75,88,75,88,75,88,88,75,75,88,75,88,75,88,75,88,75,75
1111,42,42,150,149,42,42,42,42,42,42,42,12,42,42,140,57,150,42,42,42
1112,127,12,6,54,46,46,127,54,142,6,108,127,108,124,46,127,6,46,57,18
1113,140,140,140,140,140,140,120,129,140,140,140,149,140,149,140,140,140,129,140,140
1114,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
1115,71,137,71,4,71,137,137,137,111,142,136,142,67,142,128,138,136,142,7,50
1116,89,89,89,89,89,134,146,90,89,89,97,97,89,89,89,97,89,89,89,90
1117,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
1118,89,89,94,87,94,75,94,94,94,85,89,96,85,89,94,81,94,89,94,94
1119,21,21,21,21,21,21,21,21,21,21,21,3,21,21,21,21,21,21,21,21
1120,89,88,89,89,89,85,89,89,89,89,89,88,89,89,89,81,89,85,89,89
1121,120,119,120,120,120,107,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1122,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
1123,30,70,3,45,3,45,3,45,32,3,3,1,3,1,30,25,3,45,30,64
1124,5,64,5,64,5,5,140,5,5,5,140,118,140,16,5,117,5,16,5,5
1125,66,66,152,66,66,66,59,66,66,152,66,147,152,66,66,59,152,147,152,152
1126,133,133,133,123,133,133,133,88,133,133,133,47,133,133,133,142,133,133,14,134
1127,103,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,103,58,58,58
1128,60,114,31,149,60,151,60,141,16,31,60,107,69,151,60,139,20,60,35,2
1129,71,138,68,138,29,65,4,30,71,68,41,17,68,58,4,59,68,5,4,4
1130,110,111,110,111,111,114,110,110,111,110,111,101,110,111,110,111,110,110,111,110
1131,57,8,128,23,127,46,1,42,126,147,126,127,147,127,57,9,147,10,128,126
1132,47,8,150,33,150,1,8,125,72,139,150,38,61,15,150,8,42,42,129,1
1133,95,86,95,83,95,130,95,87,98,93,95,77,91,97,95,77,95,97,95,98
1134,58,102,58,102,58,12,58,102,58,58,58,72,58,58,58,58,58,102,58,58
1135,56,56,56,21,56,21,56,21,56,56,56,21,56,21,56,56,56,21,56,56
1136,84,84,84,84,84,84,84,84,84,85,84,84,84,85,84,85,84,84,84,84
1137,138,138,136,72,138,129,126,150,138,138,138,68,151,138,136,126,138,126,126,126
1138,50,50,121,49,50,50,121,50,50,121,50,49,121,49,50,50,50,50,50,50
1139,22,22,66,61,60,22,22,22,20,22,22,61,22,61,61,22,66,30,22,61
1140,142,122,6,49,49,128,141,7,142,137,151,142,137,54,4,128,143,151,12,11
1141,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1142,131,135,78,83,95,82,78,80,95,81,132,91,83,97,74,98,78,98,90,90
1143,133,133,88,123,142,7,142,131,133,133,88,47,47,133,133,142,133,133,98,82
1144,121,150,54,89,11,143,143,101,60,5,54,55,5,110,5,20,5,5,120,120
1145,133,82,133,82,133,82,133,85,133,133,133,89,133,133,133,88,133,133,133,133
1146,142,133,47,142,142,128,143,142,47,142,142,142,47,142,88,128,47,133,88,8
1147,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
1148,30,30,59,99,30,60,30,30,59,30,30,30,30,30,30,30,30,22,30,30
1149,4,66,4,6,4,122,4,4,29,54,54,54,54,54,4,6,29,60,29,4
1150,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
1151,16,16,16,16,16,35,16,35,16,16,14,145,16,16,35,16,16,17,16,16
1152,140,113,140,149,140,26,129,120,140,140,129,120,140,120,140,113,140,120,140,140
1153,122,128,122,137,122,128,122,122,128,122,128,137,124,137,122,128,122,128,142,142
1154,133,133,133,123,133,123,123,133,47,133,133,47,47,47,133,88,133,88,82,93
1155,112,112,112,112,112,119,112,112,112,112,112,104,112,112,112,112,112,112,112,112
1156,124,124,46,124,128,122,128,122,151,122,123,124,46,124,128,124,128,46,128,46
1157,18,18,18,42,18,150,18,47,18,18,18,109,18,28,18,1,18,42,18,18
1158,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
1159,97,134,97,148,97,81,134,97,134,97,134,89,97,134,134,97,148,97,134,134
1160,97,130,97,148,97,97,97,134,97,135,146,97,97,97,89,97,148,135,97,133
1161,88,133,88,123,123,122,128,123,133,133,88,133,47,133,133,142,133,96,82,82
1162,107,66,143,22,107,17,107,149,12,107,99,66,107,58,107,60,107,143,107,107
1163,127,37,123,124,124,124,46,122,124,123,127,127,124,112,127,134,124,124,119,116
1164,133,97,133,134,133,94,133,131,133,133,133,133,133,133,133,88,133,96,82,82
1165,133,133,133,123,133,89,122,88,133,133,88,47,47,133,133,142,133,88,14,76
1166,5,73,17,139,17,73,121,73,5,63,17,73,139,139,17,20,139,110,139,17
1167,116,139,42,139,25,139,42,102,19,115,102,118,42,58,116,139,42,17,47,101
1168,6,51,46,6,6,7,127,4,6,51,46,46,46,141,6,52,127,6,59,32
1169,118,19,43,19,40,118,43,118,118,43,118,19,43,118,43,19,43,118,118,40
1170,85,146,85,87,75,146,84,146,85,85,85,84,85,89,75,88,85,85,85,88
1171,149,11,149,49,6,71,5,52,116,149,38,29,149,29,12,121,36,121,143,143
1172,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,77,134,134,134,134
1173,139,73,139,126,139,140,139,140,139,139,101,69,139,11,139,31,139,104,139,139
1174,82,82,82,80,82,82,82,82,82,82,82,82,82,82,82,82,82,80,82,82
1175,29,147,71,72,29,149,128,139,128,128,29,128,128,58,29,30,71,23,128,128
1176,89,92,134,134,134,97,134,92,92,134,89,92,134,97,97,92,134,97,98,97
1177,142,142,142,150,142,15,142,150,142,142,142,57,142,144,142,150,142,39,142,142
1178,33,71,33,136,124,128,10,53,124,9,9,9,9,136,33,128,142,128,28,151
1179,6,123,53,124,53,123,52,122,122,53,53,123,53,122,53,122,122,128,122,122
1180,53,122,141,123,53,123,53,128,123,141,123,122,141,123,141,122,141,124,141,141
1181,148,79,95,92,148,134,89,148,148,133,148,148,133,146,133,79,146,135,89,88
1182,44,1,44,1,39,44,151,44,137,44,44,10,44,27,44,27,151,1,44,44
1183,124,124,46,124,124,124,123,123,124,46,46,124,46,124,124,53,123,124,128,128
1184,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,23,147,22,147,147
1185,143,143,143,143,110,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
1186,85,84,84,85,76,84,85,86,85,85,86,90,86,85,86,84,85,88,88,88
1187,133,133,133,123,133,133,133,133,133,133,133,47,133,133,133,142,133,133,14,88
1188,143,122,15,29,144,0,144,128,124,13,150,144,13,29,139,122,13,6,144,144
1189,67,104,67,56,71,64,67,144,45,67,45,67,67,34,67,69,67,21,45,24
1190,4,4,4,3,4,4,4,4,4,4,4,4,4,49,4,4,4,4,4,4
1191,134,134,134,134,134,134,134,134,134,134,135,94,134,134,134,134,134,134,134,134
1192,133,48,142,33,142,122,142,131,47,142,142,142,142,48,133,128,47,28,105,143
1193,145,139,23,58,59,16,58,100,23,145,29,139,145,29,23,13,108,17,23,7
1194,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
1195,111,119,111,104,111,55,111,55,99,111,111,104,111,55,111,37,111,55,107,111
1196,16,16,16,16,16,35,16,35,16,16,16,35,16,16,16,35,16,16,16,16
1197,25,25,25,100,10,32,10,100,25,10,10,53,10,57,10,27,25,34,10,25
1198,26,120,117,120,111,116,117,120,26,55,117,138,117,119,26,151,117,117,117,117
1199,25,9,32,68,32,25,32,68,100,32,32,48,32,32,10,68,32,100,28,32
1200,29,63,63,63,29,29,63,63,63,63,63,29,29,6,63,63,29,63,29,29
1201,37,3,2,37,2,21,2,45,53,37,2,37,2,9,2,3,37,37,2,2
1202,26,117,19,69,116,2,117,99,19,19,105,139,19,110,117,117,2,69,117,117
1203,153,128,147,128,10,128,125,142,128,52,154,142,147,142,153,128,147,150,153,54
1204,61,61,61,61,61,60,61,61,61,61,61,61,61,61,61,60,61,61,61,61
1205,97,97,97,97,97,97,135,97,97,97,97,97,97,97,97,97,135,134,97,97
1206,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,96
1207,148,94,135,74,135,92,134,134,134,135,96,79,148,94,134,134,148,75,97,82
1208,14,14,145,14,145,35,14,28,14,145,145,35,145,100,14,32,145,13,14,14
1209,24,41,24,24,24,34,24,40,24,24,24,118,24,41,24,40,24,24,24,24
1210,88,88,88,88,88,75,88,88,88,88,88,88,88,88,88,88,88,88,88,88
1211,105,19,105,31,55,69,111,73,113,105,105,19,104,37,105,19,104,55,104,105
1212,14,145,14,14,14,14,14,14,14,14,14,145,14,14,14,14,14,14,14,14
1213,15,47,15,18,70,144,67,18,70,37,37,47,37,18,67,47,15,67,70,67
1214,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
1215,71,71,71,71,122,137,71,69,69,151,71,69,122,71,151,71,71,71,151,71
1216,70,70,70,37,70,67,70,64,70,70,70,67,70,70,70,37,70,37,70,70
1217,3,23,138,45,62,23,138,23,138,3,3,59,3,23,121,23,3,23,138,3
1218,14,25,14,14,14,48,14,8,14,14,14,14,14,28,14,51,14,14,14,14
1219,16,27,138,154,27,45,16,17,138,138,138,16,12,72,17,60,49,54,48,44
1220,24,0,24,0,24,0,24,125,24,24,24,34,24,1,24,0,24,45,24,24
1221,65,53,65,122,122,122,122,122,122,65,122,122,67,124,65,124,46,122,67,151
1222,24,24,24,18,67,24,24,24,150,24,2,3,67,18,70,24,24,18,24,24
1223,62,67,62,47,62,24,47,67,68,70,62,47,47,47,62,37,70,67,62,62
1224,83,81,81,95,83,81,81,95,95,81,148,97,81,81,81,130,81,81,81,148
1225,105,106,105,105,105,120,105,105,105,105,105,120,105,106,99,120,105,105,105,99
1226,103,137,103,103,103,137,103,114,58,58,137,137,58,101,103,103,103,101,58,58
1227,88,133,88,123,142,7,142,47,133,133,88,47,47,133,133,88,133,78,82,76
1228,59,5,17,22,59,20,17,59,17,17,17,66,59,17,59,59,59,59,59,59
1229,140,12,17,100,140,17,140,138,140,17,140,149,17,12,140,17,17,17,140,17
1230,16,16,16,16,16,14,16,16,16,16,16,145,16,16,16,16,16,16,16,16
1231,129,129,129,129,129,129,129,129,129,129,129,129,129,19,129,129,129,129,129,129
1232,2,70,2,42,2,144,144,70,44,2,67,37,2,70,144,2,2,37,144,37
1233,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
1234,6,6,46,6,46,127,6,6,6,6,46,127,6,6,46,127,6,6,6,6
1235,28,63,28,9,10,9,28,9,10,28,28,9,28,48,10,10,28,9,48,28
1236,78,87,78,87,78,78,78,87,78,78,78,87,78,78,78,78,78,78,78,78
1237,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
1238,30,30,30,30,30,30,30,30,30,30,30,21,30,30,30,30,30,30,30,30
1239,136,128,136,137,136,128,136,128,128,136,136,137,137,136,137,137,137,142,137,136
1240,23,66,23,60,66,128,60,60,23,29,50,128,29,72,29,23,46,29,109,66
1241,133,133,88,123,123,122,142,131,133,133,88,47,47,133,133,88,133,133,14,82
1242,133,133,142,48,142,128,142,123,47,133,88,47,47,104,133,142,47,48,122,88
1243,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
1244,7,66,7,7,7,7,7,7,7,7,7,60,7,7,7,7,7,29,7,7
1245,81,81,78,80,77,82,86,98,81,77,77,86,77,81,81,86,81,98,77,77
1246,87,79,79,134,79,79,79,79,87,87,90,86,132,132,87,79,87,79,79,96
1247,2,2,2,118,2,70,2,19,2,2,2,19,2,2,2,40,2,2,2,2
1248,25,48,44,48,25,48,48,48,28,28,28,8,28,28,9,48,48,28,28,25
1249,69,69,69,69,69,69,69,52,69,69,69,2,69,69,69,69,69,69,69,69
1250,142,23,71,139,150,145,142,150,142,142,150,128,47,128,48,20,142,49,142,47
1251,42,42,42,42,42,42,42,42,42,42,42,11,42,42,42,42,42,42,42,42
1252,133,78,88,94,132,134,133,131,133,133,133,133,133,133,133,89,133,96,79,88
1253,51,51,51,51,51,51,51,51,51,51,51,63,51,100,51,51,51,32,51,51
1254,142,142,142,142,142,142,142,128,142,142,142,122,142,142,142,142,142,142,142,142
1255,133,133,133,123,133,133,142,131,133,133,88,47,47,133,133,88,133,132,14,82
1256,71,71,71,29,71,29,71,71,71,71,71,71,71,71,71,71,71,71,71,71
1257,90,80,90,90,82,80,90,98,82,82,90,82,82,90,90,98,82,90,82,82
1258,47,34,64,5,47,18,36,141,47,0,47,142,14,144,47,20,13,30,0,36
1259,30,6,32,22,100,66,32,63,64,32,46,127,32,21,32,66,127,127,32,32
1260,123,142,123,124,122,124,123,95,124,123,123,124,123,123,123,124,123,124,128,123
1261,76,88,82,82,81,81,76,146,76,76,76,84,81,81,76,88,81,88,81,81
1262,112,119,112,119,112,119,112,119,119,112,112,104,112,119,112,119,112,119,112,112
1263,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
1264,35,69,125,13,69,69,125,42,125,14,5,102,35,34,64,27,125,34,35,64
1265,54,54,49,49,4,54,54,49,52,49,54,49,49,49,4,49,4,49,49,49
1266,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
1267,87,87,87,76,87,86,87,76,87,74,74,78,87,86,87,87,87,76,76,148
1268,134,133,79,94,135,92,79,148,82,82,96,79,79,76,82,89,79,133,74,133
1269,133,133,88,142,133,48,142,47,133,133,88,47,88,133,133,20,133,133,133,88
1270,57,30,47,28,47,34,8,36,47,47,33,47,57,47,47,142,47,47,33,34
1271,128,128,151,128,128,122,11,128,128,143,128,10,143,128,128,128,128,128,151,128
1272,41,43,41,43,41,43,41,43,41,41,41,0,40,43,41,0,41,43,40,41
1273,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149
1274,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149
1275,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
1276,35,35,35,1,35,1,35,1,35,35,35,1,35,1,35,1,35,1,35,35
1277,39,2,39,2,39,30,39,10,26,39,39,25,39,2,39,37,39,43,39,39
1278,99,99,99,73,99,99,99,99,99,99,99,99,99,104,99,99,99,99,99,99
1279,50,128,66,66,46,52,12,142,124,66,12,142,124,137,46,145,12,142,12,12
1280,21,7,4,7,21,7,4,20,7,21,29,66,21,7,7,66,7,66,3,7
1281,30,21,30,30,30,30,30,59,30,35,30,59,145,30,30,21,145,59,21,121
1282,2,2,2,2,2,2,2,39,2,2,2,37,2,2,2,2,2,2,2,2
1283,47,102,47,102,47,102,47,47,47,47,47,102,47,47,47,102,47,47,47,47
1284,131,131,131,131,131,131,131,131,131,131,131,86,131,132,131,131,131,131,131,131
1285,133,133,133,133,133,133,133,88,133,133,133,133,88,133,133,88,133,96,133,79
1286,97,97,97,97,97,97,97,130,97,97,97,134,97,89,97,97,97,133,97,97
1287,66,66,66,22,66,20,66,66,66,66,66,66,66,66,66,22,66,23,66,66
1288,36,103,41,121,109,109,60,113,50,36,64,117,36,15,29,99,41,37,12,31
1289,124,54,53,151,53,53,53,122,54,54,53,53,54,123,53,46,53,54,53,53
1290,10,9,10,9,9,10,10,9,10,10,9,10,10,9,10,9,10,9,10,9
1291,65,55,69,69,69,128,69,104,69,69,69,69,69,69,65,2,69,69,71,71
1292,122,46,122,122,122,122,124,122,122,122,123,122,124,122,122,122,122,122,124,122
1293,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
1294,136,136,136,136,136,136,136,137,136,136,136,23,136,137,136,126,136,140,136,136
1295,84,84,84,84,84,85,84,84,85,85,84,89,84,84,84,88,84,84,84,88
1296,144,65,144,109,11,126,11,107,11,144,11,24,144,138,11,16,11,116,144,144
1297,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
1298,34,7,35,45,34,53,35,45,40,34,34,0,34,45,34,20,34,45,1,34
1299,88,88,88,85,81,85,85,85,88,81,85,84,88,85,88,85,88,85,88,88
1300,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
1301,104,119,104,104,104,104,104,119,104,104,104,115,104,104,104,116,104,119,104,104
1302,82,98,148,82,98,80,82,87,82,82,82,98,82,131,82,98,148,95,82,82
1303,50,53,142,64,142,142,124,6,50,66,50,29,142,127,29,125,6,69,66,136
1304,133,133,133,142,142,122,88,133,47,133,88,47,47,133,133,142,133,48,133,88
1305,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
